Date,IdNummer,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12F_alt,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13G_alt,Q14,Q14_alt,Q15,Q15_alt,Q16A,Q16B,Q16C,Q16D,Q16E,Q16F,Q16G,Q16G_alt,Q17,Q18A,Q18B,Q18C,Q18D,Q18D_alt,Q19,Q20A,Q20B,Q20C,Q20D,Q20E,Q20E_alt,Q21.1.1,Q21.1.2,Q21.1.3,Q21.2.1,Q21.2.2,Q21.2.3,Q22,Q23.1,Q23.2,Q23.3,Q23.4,Q23.5,Q23.6,Q23.7,Q23.8,Q23.9,Q23.10,Q23.11,Q23.12,Q23.13,Q24,Q24_alt,Q25,Q26,Q27.1.1,Q27.1.2,Q27.1.3,Q27.1.4,Q27.1.5,Q27.1.6,Q27.1.7,Q27.1.8,Q27.2.1,Q27.2.2,Q27.2.3,Q27.2.4,Q27.2.5,Q27.2.6,Q27.2.7,Q27.2.8,Q28,Q29,Q29_alt,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31G,Q31H,Q31I,Q31J,Q31K,Q31L,Q31M,Q31M_alt,Q32A,Q32B,Q32C,Q32D,Q32E,Q32F,Q32G,Q32H,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q33J,Q33K,Q33L,Q33M,Q33M_alt,Q34,Q35,Q36,Q37,Q38,Q38_alt,Q39.1,Q39.2,Q39.3,Q39.4,Q39.5,Q40.1,Q40.2,Q40.3,Q40.4,Q40.5,Q41.1,Q41.2,Q41.3,Q41.4,Q41.5,Q42.1,Q42.2,Q42.3,Q42.4,Q42.5,Q43,Q44A,Q44B,Q44C,Q44D,Q45A,Q45B,Q45C,Q45D,Q45E,Q45F,Q45G,Q45H,Q45I,Q45J,Q45K,Q45L,Q45M,Q45N,Q45O,Q45P,Q45Q,Q45R,Q45S,Q45T,Q45U,Q45V,Q45W,Q45X,Q45X_alt,Q46,Q46_alt,Q47,Q48,Q49,Q50,Q51,Q51_alt,Q52,Q53,Q53_alt,,,,,,,,,,,,,,,,
Helaas was het, door de regen, niet fijn om mezelf om te kleden na de finish. Ik heb het gedaan in de hal van een flat/bejaardenteheuis. Dat is natuurlijk niet echt zoals het hoort.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verder geen opmerkingen., ,Geen aparte trainingsperiode (ik train gedurende het hele jaar),3 keer per week,Langer dan een jaar,Ik zou zowel vaker als meer kilometers willen hardlopen,true,true,false,false,false,false, ,false,false,false,false,false,true,false, ,Anders, namelijk ...,Vanuit huis en vanuit de Atletiek vereniging.,Anders, namelijk…,Zie boven. vahuit huis en vanuit de vereniging (ca 3km),true,false,false,false,false,true,false, ,Ja,false,true,true,true,Social media,Nee,false,false,false,false,true,Zeer interessant om te lezen.,Mee eens,Neutraal,Mee eens, , , ,Ja,Interesse,Interesse,Neutraal,Interesse,Interesse,Interesse,Geen interesse,Geen interesse,Geen interesse,Neutraal,Neutraal,Neutraal,Interesse,Nee, ,10,10,Oneens,Oneens,Eens,Neutraal,Neutraal,Oneens,Neutraal,Neutraal, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,false,false,false,false,false,true,false,false, , , , , , , , , , , , , , , , , , ,Door een trainer/coach in combinatie met een app of online platform, ,Goed,Goed,Goed,Neutraal,Goed,Neutraal,Neutraal,Neutraal,Een beetje,Een beetje,Goed,Goed,Neutraal,Een beetje,Een beetje,Interesse,Interesse,Interesse,Interesse,Interesse,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,Relive,Garmin Connect, ,Man,54,189,92,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Ja, mijn email adres is ...,Nee, ,,,,,,,,,,,,,,,,
9/26/2018 12:22:41 PM,11,Nee, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
9/26/2018 12:23:23 PM,12,Ja,Nee, ,Nee, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Nee, ,,,,,,,,,,,,,,,,
9/26/2018 12:24:45 PM,13,Nee, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
9/26/2018 12:25:38 PM,14,Nee, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
9/26/2018 12:25:40 PM,15,Ja,Nee, ,Nee, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Nee, ,,,,,,,,,,,,,,,,
9/26/2018 12:26:27 PM,16,Ja,Ja,16 km (10 mijl), ,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koud, nat maar top georganiseerd !, ,Geen aparte trainingsperiode (ik train gedurende het hele jaar),1 tot 3 keer per maand,Langer dan een jaar,Ik wil niet vaker en/of meer kilometers hardlopen dan ik nu doe, , , , , , , ,false,false,false,false,true,false,false, ,Ik begin meestal met hardlopen vanuit mijn huis., ,Niet, ik loop thuis de deur uit, ,false,false,false,false,false,true,false, ,Ja,false,true,false,false, ,Nee,false,false,true,false,false, ,Niet van toepassing,Niet van toepassing,Niet van toepassing, , , ,Nee, , , , , , , , , , , , , , , , , ,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,true,false,false,false,false,false,false,false, , , , , , , , , , , , , , , , , , ,Anders, namelijk,niet,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Geen interesse,Geen interesse,Geen interesse,Geen interesse,Geen interesse,Nee, ik weet van het bestaan van sport-apps, maar ik gebruik er geen, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Man,56,190,94,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Nee,Nee, ,,,,,,,,,,,,,,,,
9/26/2018 12:26:30 PM,17,Ja,Ja,16 km (10 mijl), ,8, , ,Geen aparte trainingsperiode (ik train gedurende het hele jaar),1 keer per week,Langer dan een jaar,Ik zou vaker willen hardlopen,false,true,false,false,false,false, ,true,false,false,false,false,false,false, ,Ik begin meestal met hardlopen vanuit mijn huis., ,Niet, ik loop thuis de deur uit, ,false,false,false,false,false,true,false, ,Nee, , , , , , , , , , , , , , , , , , ,Nee, , , , , , , , , , , , , , , , , ,Neutraal,Neutraal,Eens,Eens,Eens,Helemaal mee oneens,Helemaal mee oneens,Eens, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,true,false,false,false,false,false,false,false, , , , , , , , , , , , , , , , , , ,Alleen door een app of online platform, ,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Een beetje,Een beetje,Goed,Goed,Goed,Goed,Goed,Interesse,Interesse,Interesse,Interesse,Interesse,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false, ,TomTom Sports, ,Man,31,186,80,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Ja, mijn email adres is ...,Nee, ,,,,,,,,,,
