BMI,BMI_Class
21.79944510503369,Gezond gewicht
27.160493827160494,Overgewicht
26.03889892655968,Overgewicht
24.994202375737586,Gezond gewicht
29.411764705882355,Overgewicht
24.263302868088708,Gezond gewicht
20.307412205454995,Gezond gewicht
32.769394909312595,Obesitas
20.571428571428573,Gezond gewicht
21.296296296296294,Gezond gewicht
25.390624999999996,Overgewicht
20.549886621315196,Gezond gewicht
23.120623596247853,Gezond gewicht
22.05666111165572,Gezond gewicht
22.59814049586777,Gezond gewicht
30.884497697961045,Obesitas
23.148148148148145,Gezond gewicht
25.697069943289225,Overgewicht
20.761245674740486,Gezond gewicht
23.529411764705884,Gezond gewicht
21.773842357381334,Gezond gewicht
23.875659311507132,Gezond gewicht
21.564544913741823,Gezond gewicht
22.395413419331717,Gezond gewicht
33.95918367346939,Obesitas
18.339100346020764,Ondergewicht
21.91358024691358,Gezond gewicht
23.79552644102909,Gezond gewicht
22.955684331345708,Gezond gewicht
19.86630513570834,Gezond gewicht
26.729927495071667,Overgewicht
18.42403628117914,Ondergewicht
22.758306781975424,Gezond gewicht
27.43484224965706,Overgewicht
26.573129251700685,Overgewicht
27.143037495265748,Overgewicht
26.29757785467128,Overgewicht
23.888440980620498,Gezond gewicht
20.902385858042937,Gezond gewicht
23.889462809917354,Gezond gewicht
25.50404037692287,Overgewicht
18.77834467120182,Ondergewicht
18.30576947355132,Ondergewicht
23.437499999999996,Gezond gewicht
24.0569347455645,Gezond gewicht
24.48565200513601,Gezond gewicht
20.571428571428573,Gezond gewicht
27.68166089965398,Overgewicht
20.811654526534856,Gezond gewicht
24.41927902078691,Gezond gewicht
19.15158479364167,Gezond gewicht
26.643598615916957,Overgewicht
21.35779559539232,Gezond gewicht
22.59814049586777,Gezond gewicht
23.545706371191137,Gezond gewicht
25.344352617079892,Overgewicht
24.337479718766904,Gezond gewicht
25.195263290501387,Overgewicht
21.877551020408163,Gezond gewicht
23.163373273470786,Gezond gewicht
23.030045351473927,Gezond gewicht
22.22222222222222,Gezond gewicht
19.1107527844964,Gezond gewicht
24.535123966942148,Gezond gewicht
21.929223431375238,Gezond gewicht
23.120623596247853,Gezond gewicht
28.73469387755102,Overgewicht
24.280975342840534,Gezond gewicht
26.775510204081634,Overgewicht
21.47708663319821,Gezond gewicht
22.79035792549306,Gezond gewicht
23.75,Gezond gewicht
22.145328719723185,Gezond gewicht
20.937075599818925,Gezond gewicht
19.13265306122449,Gezond gewicht
24.251278305332356,Gezond gewicht
23.766410140334994,Gezond gewicht
21.604938271604937,Gezond gewicht
21.785875961973744,Gezond gewicht
18.144868631151112,Ondergewicht
22.99262444384723,Gezond gewicht
18.407596785975162,Ondergewicht
23.671253629592222,Gezond gewicht
24.677021338365513,Gezond gewicht
21.306818181818183,Gezond gewicht
27.173119065010955,Overgewicht
20.808561236623067,Gezond gewicht
18.726007303142847,Ondergewicht
20.6758034026465,Gezond gewicht
23.087868130688072,Gezond gewicht
26.346494034400994,Overgewicht
23.87543252595156,Gezond gewicht
0,Data ontbreekt
24.251278305332356,Gezond gewicht
25.029760996306585,Overgewicht
0,Data ontbreekt
19.705532421177875,Gezond gewicht
0,Data ontbreekt
20.936639118457304,Gezond gewicht
20.775623268698062,Gezond gewicht
26.42356982428326,Overgewicht
20.761245674740486,Gezond gewicht
21.0372534696859,Gezond gewicht
31.561671506122963,Obesitas
21.707923392038097,Gezond gewicht
23.702162099664697,Gezond gewicht
22.03856749311295,Gezond gewicht
26.874496103198062,Overgewicht
21.38593635289987,Gezond gewicht
20.37037037037037,Gezond gewicht
19.925129815239703,Gezond gewicht
0,Data ontbreekt
20.467411815938455,Gezond gewicht
25.195263290501387,Overgewicht
24.332277048438208,Gezond gewicht
21.63331530557058,Gezond gewicht
24.913494809688583,Gezond gewicht
19.705532421177875,Gezond gewicht
26.59279778393352,Overgewicht
21.736505252988767,Gezond gewicht
23.91327452439154,Gezond gewicht
23.120623596247853,Gezond gewicht
21.12911953412868,Gezond gewicht
23.722810651876106,Gezond gewicht
19.623233908948194,Gezond gewicht
25.165146272412706,Overgewicht
24.94449165318933,Gezond gewicht
20.820939916716245,Gezond gewicht
21.604938271604937,Gezond gewicht
22.15910864205237,Gezond gewicht
23.306680053067517,Gezond gewicht
23.822714681440445,Gezond gewicht
24.441802087462015,Gezond gewicht
21.85727788279773,Gezond gewicht
21.71806608974573,Gezond gewicht
18.826793499801823,Ondergewicht
22.40817898532965,Gezond gewicht
24.0569347455645,Gezond gewicht
25.401701323251416,Overgewicht
21.146319909102385,Gezond gewicht
21.146319909102385,Gezond gewicht
31.88775510204082,Obesitas
21.545090797168363,Gezond gewicht
23.306680053067517,Gezond gewicht
24.930747922437675,Gezond gewicht
22.647376960519203,Gezond gewicht
19.879102600511175,Gezond gewicht
21.545090797168363,Gezond gewicht
24.61810377477591,Gezond gewicht
24.930747922437675,Gezond gewicht
31.884366032522056,Obesitas
21.9671201814059,Gezond gewicht
25.826446280991735,Overgewicht
20.811654526534856,Gezond gewicht
23.56663223140496,Gezond gewicht
22.498173849525198,Gezond gewicht
21.47708663319821,Gezond gewicht
24.930747922437675,Gezond gewicht
26.959840341724732,Overgewicht
21.91358024691358,Gezond gewicht
20.37037037037037,Gezond gewicht
26.315789473684212,Overgewicht
23.959094229364496,Gezond gewicht
22.093170054286073,Gezond gewicht
21.32943754565376,Gezond gewicht
24.8109640831758,Gezond gewicht
21.32943754565376,Gezond gewicht
21.56476002629849,Gezond gewicht
25.94548395958609,Overgewicht
23.529411764705884,Gezond gewicht
27.915518824609737,Overgewicht
22.647376960519203,Gezond gewicht
21.453287197231838,Gezond gewicht
20.796729893506402,Gezond gewicht
24.622960911049557,Gezond gewicht
20.515086478979924,Gezond gewicht
23.66691015339664,Gezond gewicht
23.875114784205696,Gezond gewicht
22.985397512168742,Gezond gewicht
23.355636914530994,Gezond gewicht
24.0569347455645,Gezond gewicht
27.777777777777775,Overgewicht
18.376825152861773,Ondergewicht
21.877551020408163,Gezond gewicht
23.18339100346021,Gezond gewicht
20.515086478979924,Gezond gewicht
24.256825326105798,Gezond gewicht
21.971335857220122,Gezond gewicht
22.408786769347305,Gezond gewicht
20.724837921139336,Gezond gewicht
23.18339100346021,Gezond gewicht
20.227025721531216,Gezond gewicht
25.95155709342561,Overgewicht
19.257028815517668,Gezond gewicht
21.20099137030069,Gezond gewicht
22.096807907073963,Gezond gewicht
21.453287197231838,Gezond gewicht
20.305174833527424,Gezond gewicht
23.510204081632654,Gezond gewicht
23.04002019946976,Gezond gewicht
22.481329065691202,Gezond gewicht
25.24933720489837,Overgewicht
19.46088099934254,Gezond gewicht
25.142584132103075,Overgewicht
22.408786769347305,Gezond gewicht
23.702162099664697,Gezond gewicht
28.73469387755102,Overgewicht
23.355636914530994,Gezond gewicht
22.724403484408533,Gezond gewicht
24.355421180818006,Gezond gewicht
21.47708663319821,Gezond gewicht
24.355421180818006,Gezond gewicht
26.85546875,Overgewicht
24.76756591982929,Gezond gewicht
28.568513416998265,Overgewicht
30.443839128344813,Obesitas
22.460034350640772,Gezond gewicht
21.258503401360546,Gezond gewicht
23.92485822306238,Gezond gewicht
24.221453287197235,Gezond gewicht
19.944502254595903,Gezond gewicht
24.489795918367346,Gezond gewicht
21.79930795847751,Gezond gewicht
21.678806798473808,Gezond gewicht
23.437499999999996,Gezond gewicht
20.99605274208449,Gezond gewicht
22.093170054286073,Gezond gewicht
21.077195227520797,Gezond gewicht
24.772096710265558,Gezond gewicht
20.199469763918696,Gezond gewicht
23.529411764705884,Gezond gewicht
22.321428571428577,Gezond gewicht
26.09327520147972,Overgewicht
23.54788069073783,Gezond gewicht
22.12973972783723,Gezond gewicht
26.272829303132333,Overgewicht
21.79930795847751,Gezond gewicht
21.606648199445985,Gezond gewicht
22.877405702193368,Gezond gewicht
24.835646457268076,Gezond gewicht
27.414453692693883,Overgewicht
21.798202394816204,Gezond gewicht
25.970115548195267,Overgewicht
24.508945765204302,Gezond gewicht
19.723183391003463,Gezond gewicht
